target,source,group,long,lat
Istanbul Biennial,Rabih Mroué,2,NA,NA
Istanbul Biennial,Halil Altindere,2,NA,NA
Istanbul Biennial,Cevdet Erek,2,NA,NA
Istanbul Biennial,Wael Shawky,2,NA,NA
Istanbul Biennial,Doa Aly,2,NA,NA
Istanbul Bilgi University,Burak Arikan,2,NA,NA
Istanbul Bilgi University,Işıl Eğrikavuk,2,NA,NA
Istanbul Design,Burak Arikan,2,NA,NA
Istanbul Modern,Nil Yalter,2,NA,NA
Italian,Mohanna Durra,3,NA,NA
Italian,Seif Wanly,3,NA,NA
Italian,Daoud Corm,3,NA,NA
Italian,Hayv Kahraman,3,NA,NA
Italian,Ahmad Osman,3,NA,NA
Italian,Hamed Owais,3,NA,NA
Italian,Ali Al-Ruzaiza,3,NA,NA
Italian,Ragheb Ayad,3,NA,NA
Italian,Ahmed Felemban ,3,NA,NA
Italian,Adham Wanly,3,NA,NA
Italian,Runa Islam,3,NA,NA
Italian,Khaled Al-Faisal,3,NA,NA
Italian,Abdelfattah Kilito,3,NA,NA
Italian,Youssef Kamel,3,NA,NA
Italian,Dia Aziz Dia ,3,NA,NA
Italian,Baseem Al Sharqi,3,NA,NA
Italy,Gita Meh,1,12.56738,41.87194
